latitude,longitude,cumulative_distance,terrain
10.0176938,76.3494045,608.6693316171633,"civil station, road"
10.0176991,76.3494075,608.6700038011902,"civil station, road"
10.0177053,76.3494115,608.670817797966,"civil station, road"
10.0177079,76.3494205,608.6718455532996,"civil station, road"
10.0177128,76.349436,608.6736292075923,"civil station, road"
10.0177166,76.3494396,608.6742057776293,"civil station, road"
10.0177214,76.3494447,608.6749768162771,"civil station, road"
10.0177249,76.3494487,608.6755617774296,"civil station, road"
10.0177292,76.3494541,608.67632118298,"civil station, road"
10.0177333,76.3494601,608.6771201553,"civil station, road"
10.0177354,76.3494638,608.6775875942297,"civil station, road"
10.0177385,76.3494691,608.6782622771757,"civil station, road"
10.0177372,76.3494824,608.6797274742183,"civil station, road"
10.0177375,76.3494913,608.6807037756554,"civil station, road"
10.0177396,76.3494996,608.6816429107514,"civil station, road"
10.0177414,76.3495061,608.6823828173241,"civil station, road"
10.0177471,76.3495162,608.683657020474,"civil station, road"
10.0177613,76.3495297,608.685815129749,"civil station, road"
10.0177677,76.349532,608.6865665896329,"civil station, road"
10.0177735,76.3495341,608.6872481768766,"civil station, road"
10.0177795,76.3495383,608.6880559215181,"civil station, road"
10.0177883,76.3495484,608.6895302065433,"civil station, road"
10.0177925,76.3495513,608.6900931394248,"civil station, road"
10.0177988,76.3495557,608.6909406467885,"civil station, road"
10.0178146,76.3495656,608.6929978660115,"civil station, road"
10.0178192,76.3495677,608.6935563277752,"civil station, road"
10.0178199,76.3495742,608.6942731385647,"civil station, road"
10.0178219,76.3495816,608.695114044675,"civil station, road"
10.017824,76.349588,608.6958531456529,"civil station, road"
10.0178299,76.3495979,608.6971195967012,"civil station, road"
10.017837,76.349608,608.6984771047647,"civil station, road"
10.0178401,76.3496132,608.6991423689346,"civil station, road"
10.0178124,76.349662,608.70530765667,"civil station, road"
10.0178171,76.3496699,608.7063177987745,"civil station, road"
10.0178287,76.3496794,608.707970366168,"civil station, road"
10.0178352,76.3496821,608.7087478704349,"civil station, road"
10.0178462,76.3496857,608.7100269712914,"civil station, road"
10.017855,76.3496864,608.7110033413807,"civil station, road"
10.0178633,76.3496851,608.711932384078,"civil station, road"
10.0178824,76.3496836,608.7140513855586,"civil station, road"
10.0178925,76.349683,608.7151704601566,"civil station, road"
10.0179038,76.3496819,608.7164261338003,"civil station, road"
10.0179101,76.3496821,608.7171233083601,"civil station, road"
10.0179201,76.3496826,608.7182307447098,"civil station, road"
10.0179314,76.349684,608.7194900027874,"civil station, road"
10.0179517,76.3496888,608.7217961858953,"civil station, road"
10.0179597,76.3496934,608.7228146723352,"civil station, road"
10.0179649,76.3496969,608.7235060829688,"civil station, road"
10.0179698,76.3497005,608.7241765403857,"civil station, road"
10.0179741,76.3497042,608.7248016444584,"civil station, road"
10.0134593,76.5447086,630.1097628943673,"civil station, road"
10.0179831,76.3497123,651.4938593257192,"civil station, road"
10.017985,76.3497165,651.4943654764037,"civil station, road"
10.0179866,76.3497187,651.4946646310904,"civil station, road"
10.0179623,76.3497349,651.4978861998457,"civil station, road"
10.0179608,76.3497317,651.4982742798542,"civil station, road"
10.0179599,76.3497265,651.4988529991833,"civil station, road"
10.0179595,76.3497226,651.4992828521547,"civil station, road"
10.0179627,76.349701,651.5016772373718,"civil station, road"
10.017965,76.3496936,651.5025274752849,"civil station, road"
